Company,Headquarters,Served countries,Map,Number of locations,Number of employees
7-Eleven,"Japan, United States","Australia, Canada, China, Cambodia, Denmark, Hong Kong, Israel, Macau, Malaysia, Mexico, Norway, Philippines, Singapore, South Korea, Sweden, Taiwan, Thailand",N/A,85000,170000
Aeon,Japan,"Australia, Cambodia, China, Hong Kong, India, Indonesia, Laos, Malaysia, Mongolia, Philippines, Singapore, South Korea, Taiwan, Thailand, Vietnam",N/A,20008,560000
Ahold Delhaize,Netherlands,"Belgium, Czech Republic, Greece, Indonesia, Netherlands, Luxembourg, Portugal, Romania, Serbia, United States",N/A,7659,375000
Aldi Nord,Germany,"Belgium, France, Luxembourg, Netherlands, Poland, Portugal, Spain, United States (branded as Trader Joe's)",N/A,5435,72811
Aldi Süd,Germany,"Australia, Austria (as Hofer), China, Hungary, Ireland, Italy, Slovenia (as Hofer), Switzerland, United Kingdom, United States",N/A,7397,201361
Aldi,Germany (Süd and Nord),"Australia (Süd), Austria (Süd as Hofer), China (Süd), Hungary (Süd), Ireland (Süd), Italy (Süd), Slovenia (Süd as Hofer), Switzerland (Süd), United Kingdom (Süd), United States (Süd), Belgium (Nord), France (Nord), Luxembourg (Nord), Netherlands (Nord), Poland (Nord), Portugal (Nord), Spain (Nord), United States (Nord branded as Trader Joe's)",N/A,12832,274172
Edeka,Germany,Denmark,N/A,13646,381000
Extra,Germany,N/A,N/A,N/A,9700
Tengelmann Group,Germany,N/A,N/A,4170,72714
Minimal,Germany,Poland,N/A,1500,N/A
Auchan,France,"Spain, Luxembourg, Italy, Portugal, Poland, Romania, Hungary, Russia, Ukraine, Taiwan, Senegal, Côte d’Ivoire, Mauritania, Tadjikistan, Tunisia",N/A,2101,160407
Big C,Thailand,"Laos, Vietnam",N/A,1234,27000
Billa,Austria,"Bulgaria, Czech Republic, Slovakia, Russia, Italy, Romania, Croatia, Ukraine, Hungary, Poland",N/A,3645,76174
B?M,Turkey,"Morocco, Egypt",N/A,10330,37439
Carrefour,France,"Algeria, Argentina, Armenia, Bahrain, Belgium, Brazil, Cameroon, China, Cyprus, Dominican Republic, Egypt, Georgia, Indonesia, Irak, Israel, Italy, Ivory Coast, Jordan, Kenya, Kuwait, Lebanon, Madagascar, Mauritius, Morocco, Oman, Pakistan (""Hyper Star""), Poland, Qatar, Romania, Saudi Arabia, Senegal, Spain, Taiwan, The Bahamas, Tunisia, Turkey, Uganda, United Arab Emirates",N/A,13894,319565
Champion,France,"Belgium, Spain, Poland, Greece, Turkey, Argentina, Brazil",N/A,1000,45000
Casino,France,"Argentina (Grupo Éxito), Brazil (GPA), Cameroon (Bao), Colombia (Grupo Éxito), Uruguay (Grupo Éxito)",N/A,10800,196307
CBA,Hungary,"Bulgaria, Croatia, Czech Republic, Lithuania, Poland, Romania, Serbia, Slovakia",N/A,5203,30000
Cencosud,Chile,"Argentina, Brazil, Colombia, Peru",N/A,1471,126530
Chedraui,Mexico,United States,N/A,262,38000
Conad,Italy,"Albania, China, Kosovo, Malta, San Marino",N/A,3410,32000
Co-op Atlantic,Atlantic Canada,N/A,N/A,N/A,N/A
Coop amba,Denmark,N/A,N/A,1200,36000
Coop Hungary,Hungary,N/A,N/A,5000,32000
Coop Italia,Italy,San Marino,N/A,1444,56682
Coop Nederlands,Netherlands,N/A,N/A,242,N/A
Coop Norge,Norway,N/A,N/A,N/A,2564
Coop (Puerto Rico),Puerto Rico,N/A,N/A,N/A,N/A
Coop (Sweden),Sweden,N/A,N/A,850,N/A
Co-op Food,United Kingdom,N/A,N/A,2564,N/A
Coop,Switzerland,Liechtenstein,N/A,2478,90307
Cora,France,"Belgium, Luxembourg, Romania",N/A,80,N/A
Costco,United States,"Australia, Canada, Japan, Mexico, South Korea, Spain, Sweden, Taiwan, United Kingdom, France, China, Puerto Rico",N/A,861,316000
Crai,Italy,"Albania, Malta, San Marino",N/A,3444,18000
Denner,Switzerland,Liechtenstein,N/A,860,N/A
Dunnes,Ireland,"Spain, United Kingdom, Portugal",N/A,138,15000
Leclerc,France,"Andorra, Poland, Portugal, Réunion, Slovenia, Spain",N/A,1494,133000
Géant Casino,France,"Martinique, Djibouti, Uruguay, Qatar, Tunisia, Guadeloupe, Guyane, Wallis-et-Futuna, Libya",N/A,281,133000
Dominick's,United States,N/A,N/A,116,18000
e-mart,South Korea,"Mongolia, Vietnam",N/A,183,N/A
Eataly,Italy,"Brazil, Canada, France, Germany, Japan, Kuwait, Qatar, Russia, Saudi Arabia, South Korea, Sweden, Turkey, United Arab Emirates, United Kingdom, United States",N/A,45,N/A
EuroSpin,Italy,"Slovenia, Croatia, Malta",N/A,1143,7000
Famila,Germany,Italy,N/A,235,6600
FamilyMart,Japan,"China, Indonesia, Malaysia, Philippines, Taiwan, Thailand, Vietnam",N/A,24941,16601
Four Square supermarkets,New Zealand,Australia,N/A,224,N/A
H-E-B,United States,Mexico,N/A,420,100000
Intermarché,France,"Belgium, Portugal, Poland, Monaco",N/A,N/A,100000
Isetan,Japan,"China, Malaysia, Singapore, Taiwan, Thailand",N/A,28,N/A
Ito-Yokado,Japan,China,N/A,178,N/A
Jeronimo Martins,Portugal,"Colombia branded as ARA, Poland branded as Biedronka",N/A,4900,123458
JUSCO,Japan,"China (mainland and Hong Kong), Malaysia, Taiwan",N/A,20008,560000
Kaufland,Germany,"Bulgaria, Croatia, Czech Republic, Montenegro, Moldova, Poland, Romania, Slovakia",N/A,1500,73000
Kesko,Finland,"Belarus, Estonia, Latvia, Lithuania, Norway, Russia, Sweden",N/A,2000,22476
Konzum,Croatia,"Bosnia and Herzegovina, Serbia (branded as Idea)",N/A,700,10000
Lidl,Germany,"Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom, United States",N/A,12200,360000
Lotte Mart,South Korea,"China, Indonesia, Vietnam",N/A,199,N/A
Lulu Hypermarket,United Arab Emirates,"Bahrain, Saudi Arabia, Kuwait, Oman, Qatar, Egypt, India, Yemen, Indonesia",N/A,238,57000
Makro (SHV Holdings),,"Argentina, Brazil, Colombia, Venezuela",N/A,107,6655
Makro (CP All),Thailand,"Cambodia, China, India, Myanmar",N/A,145,14500
Maxima Group,Lithuania,"Latvia, Estonia, Bulgaria (branded as T-Market), Poland (branded as Stokrotka)",N/A,1326,31569
Maxvalu Tokai,Japan,Thailand,N/A,N/A,N/A
Meny,Norway,Denmark,N/A,300,15000
Mercator,Slovenia,"Bosnia and Herzegovina, Croatia, Montenegro, Serbia",N/A,1428,20300
Mercator-S,Serbia,N/A,N/A,321,8124
Metro,Germany,"Austria, Belgium, Bulgaria, Croatia, Czech Republic (as Makro), France, Greece, Hungary, India, Italy, Japan, Moldova, Morocco, Netherlands (as Makro), Pakistan, Poland (as Makro), Portugal (as Makro), Romania, Russia, Serbia, Slovakia, Spain (as Makro), Turkey, Ukraine",N/A,773,118000
Migros,Switzerland,"Liechtenstein, France, Germany (as tegut…)",N/A,1066,97541
Migros Türk,Turkey,Kyrgyzstan,N/A,1156,26779
MPreis,Austria,Italy,N/A,257,6100
Netto,Denmark,"Germany, Poland, United Kingdom, Sweden, Lithuania, Latvia, Estonia, Norway, Sweden, Iceland, Faroe Islands, Greenland",N/A,1730,7000
Netto UK,United Kingdom,N/A,N/A,193,7000
Netto (Les Mousquetaires),France,"Poland, Portugal",N/A,360,N/A
Netto Marken-Discount,Germany,N/A,N/A,4270,84000
Northern,Canada,USA (Alaska),N/A,213,6805
PARKnSHOP,Hong Kong,"China, Macau",N/A,250,9000
Parkson,Malaysia,"China, Vietnam, Laos, Indonesia and Myanmar",N/A,131,N/A
Penny,Germany,"Austria, Bulgaria, Hungary, Italy, Czech Republic, Romania, Turkey",N/A,3844,43773
Prisma,Finland,"Estonia, Russia",N/A,90,37283
REMA 1000,Norway,Denmark,N/A,980,20252
Rimi Baltic,Latvia,"Estonia, Lithuania",N/A,291,N/A
Selex,Italy,San Marino,N/A,2595,33000
Selgros,Germany,"Poland, Romania, Russia",N/A,98,14400
